Plot,Site,SmpleID,GenetID,TreeID,UTM_X,UTM_Y
Plot 1,xeric,VES-001,VES-1-01,P1-T020,674396.556,5636242.455
Plot 1,xeric,VES-002,VES-1-01,P1-T004,674395.724,5636242.306
Plot 1,xeric,VES-003,VES-1-01,P1-T061,674395.235,5636239.312
Plot 1,xeric,VES-004,VES-1-01,P1-T019,674394.775,5636239.082
Plot 1,xeric,VES-005,VES-1-01,P1-T019,674394.554,5636242.309
Plot 1,xeric,VES-006,VES-1-01,P1-T020,674394.487,5636240.992
Plot 1,xeric,VES-007,VES-1-01,P1-T019,674394.526,5636241.031
Plot 1,xeric,VES-008,VES-1-01,P1-T020,674393.703,5636242.212
Plot 1,xeric,VES-009,VES-1-01,P1-T019,674393.327,5636242.302
Plot 1,xeric,VES-010,VES-1-01,P1-T025,674393.338,5636242.632
Plot 1,xeric,VES-011,VES-1-01,P1-T021,674393.815,5636243.293
Plot 1,xeric,VES-012,VES-1-01,P1-T001,674392.653,5636240.172
Plot 1,xeric,VES-013,VES-1-01,P1-T001,674393.5,5636239.874
Plot 1,xeric,VES-014,VES-1-01,P1-T001,674391.851,5636242.334
Plot 1,xeric,VES-015,VES-1-01,P1-T001,674392.2,5636238.714
Plot 1,xeric,VES-016,VES-1-01,P1-T022,674392.204,5636238.717
Plot 1,xeric,VES-017,VES-1-01,P1-T008,674392.287,5636238.875
Plot 1,xeric,VES-018,VES-1-01,P1-T025,674392.269,5636238.878
Plot 1,xeric,VES-019,VES-1-01,P1-T038,674391.175,5636239.302
Plot 1,xeric,VES-020,VES-1-01,P1-T023,674391.798,5636240.837
Plot 1,xeric,VES-021,VES-1-01,P1-T026,674390.306,5636241.731
Plot 1,xeric,VES-022,VES-1-01,P1-T021,674390.691,5636241.724
Plot 1,xeric,VES-023,VES-1-01,P1-T026,674389.859,5636240.963
Plot 1,xeric,VES-024,VES-1-01,P1-T023,674389.592,5636240.8
Plot 1,xeric,VES-025,VES-1-01,P1-T023,674389.537,5636241.055
Plot 1,xeric,VES-026,VES-1-01,P1-T005,674388.895,5636242.681
Plot 1,xeric,VES-027,VES-1-01,P1-T025,674388.875,5636242.674
Plot 1,xeric,VES-028,VES-1-01,P1-T025,674388.464,5636242.612
Plot 1,xeric,VES-029,VES-1-01,P1-T038,674389.704,5636236.717
Plot 1,xeric,VES-030,VES-1-01,P1-T061,674389.973,5636234.66
Plot 1,xeric,VES-031,VES-1-01,P1-T041,674389.69,5636234.412
Plot 1,xeric,VES-032,VES-1-01,P1-T049,674390.49,5636232.95
Plot 1,xeric,VES-033,VES-1-01,P1-T041,674389.569,5636232.71
Plot 1,xeric,VES-034,VES-1-01,P1-T041,674389.284,5636232.724
Plot 1,xeric,VES-035,VES-1-01,P1-T041,674389.216,5636233.102
Plot 1,xeric,VES-036,VES-1-01,P1-T079,674388.766,5636233.09
Plot 1,xeric,VES-037,VES-1-01,P1-T041,674388.284,5636234.077
Plot 1,xeric,VES-038,VES-1-01,P1-T041,674388.147,5636234.319
Plot 1,xeric,VES-039,VES-1-01,P1-T041,674387.875,5636233.03
Plot 1,xeric,VES-040,VES-1-01,P1-T038,674387.855,5636233.236
Plot 1,xeric,VES-041,VES-1-01,P1-T062,674394.705,5636233.44
Plot 1,xeric,VES-042,VES-1-01,P1-T062,674394.747,5636233.496
Plot 1,xeric,VES-043,VES-1-01,P1-T062,674395.18,5636233.468
Plot 1,xeric,VES-044,VES-1-01,P1-T081,674395.9477,5636237.164
Plot 1,xeric,VES-045,VES-1-01,P1-T042,674387.8974,5636236.687
Plot 1,xeric,VES-046,VES-1-01,P1-T079,674389.4783,5636237.402
Plot 1,xeric,VES-047,VES-1-01,P1-T079,674389.0974,5636237.571
Plot 1,xeric,VES-048,VES-1-01,P1-T037,674387.9316,5636238.329
Plot 1,xeric,VES-049,VES-1-01,P1-T041,674387.9679,5636236.958
Plot 1,xeric,VES-050,VES-1-01,P1-T041,674389.2367,5636237.58
Plot 1,xeric,VES-051,VES-1-01,P1-T036,674389.1554,5636236.554
Plot 1,xeric,VES-052,VES-1-01,P1-U003,674388.1888,5636237.728
Plot 1,xeric,VES-053,VES-1-01,P1-T041,674388.3412,5636236.5
Plot 1,xeric,VES-054,VES-1-01,P1-T041,674388.3412,5636236.5
Plot 1,xeric,VES-055,VES-1-01,P1-T079,674388.3412,5636236.5
Plot 1,xeric,VES-056,VES-1-01,P1-T041,674388.3412,5636236.5
Plot 1,xeric,VES-057,VES-1-01,P1-T041,674388.4232,5636235.321
Plot 1,xeric,VES-058,VES-1-01,P1-T035,674388.3773,5636236.699
Plot 1,xeric,VES-059,VES-1-01,P1-T038,674389.4761,5636236.888
Plot 1,xeric,VES-060,VES-1-01,P1-T041,674388.3845,5636236.383
Plot 1,xeric,VES-061,VES-1-01,P1-T041,674388.3008,5636236.384
Plot 1,xeric,VES-062,VES-1-01,P1-T041,674388.177,5636236.738
Plot 1,xeric,VES-063,VES-1-01,P1-T041,674388.177,5636236.738
Plot 1,xeric,VES-064,VES-1-01,P1-T038,674388.177,5636236.738
Plot 1,xeric,VES-065,VES-1-01,P1-T041,674388.5081,5636235.113
Plot 1,xeric,VES-066,VES-1-02,P1-T048,674388.413,5636232.546
Plot 1,xeric,VES-067,VES-1-03,P1-T041,674387.725,5636234.112
Plot 1,xeric,VES-068,VES-1-03,P1-T048,674387.897,5636232.588
Plot 1,xeric,VES-069,VES-1-04,P1-T019,674396.061,5636240.687
Plot 1,xeric,VIN-001,VIN-1-01,P1-T001,674389.4123,5636241.466
Plot 1,xeric,VIN-002,VIN-1-01,P1-T023,674389.0152,5636242.264
Plot 1,xeric,VIN-003,VIN-1-01,P1-T033,674388.867,5636242.191
Plot 1,xeric,VIN-004,VIN-1-01,P1-T057,674388.851,5636241.986
Plot 1,xeric,VIN-005,VIN-1-01,P1-T026,674388.803,5636241.894
Plot 1,xeric,VIN-006,VIN-1-01,P1-T026,674387.178,5636242.443
Plot 1,xeric,VIN-007,VIN-1-02,P1-T080,674392.662,5636236.835
